,customer_id,recency_cltv_weekly,T_weekly,frequency,monetary_cltv_avg,exp_sales_3_month,exp_sales_6_month,exp_average_value,cltv,segment
8301,85142220-2d51-11ea-827e-000d3a38a36f,80.14285714285714,86.28571428571429,4.0,362.625,0.5660574624847375,1.1321149249694764,375.6311245747402,446.18993834190854,S
8302,20c0a20e-b1d6-11e9-89fa-000d3a38a36f,66.0,97.42857142857143,6.0,113.32,0.6679722538059913,1.3359445076119827,116.47749283575331,163.26688959652432,C
8303,63e09d12-269a-11ea-b9a0-000d3a38a36f,117.71428571428571,119.57142857142857,2.0,98.735,0.3471916298757984,0.6943832597515968,107.64368491532414,78.42517292095508,F
8304,c88f9b6e-672c-11ea-9d38-000d3a38a36f,26.714285714285715,65.0,2.0,104.99,0.4814016368006168,0.9628032736012352,114.32510847125536,115.49066091313914,D
8305,9fbdc87e-2a90-11ea-b3a7-000d3a38a36f,113.85714285714286,117.71428571428571,3.0,395.71000000000004,0.4124090382111807,0.8248180764223618,414.7144223802951,358.9012702994072,S
8306,2d328ed4-5b32-11ea-b87b-000d3a38a36f,71.14285714285714,75.28571428571429,2.0,208.98000000000002,0.4487090269104287,0.897418053820856,225.40444269688115,212.23888735362485,A
8307,bacec43e-5b40-11ea-8fcc-000d3a38a36f,47.0,73.42857142857143,2.0,56.99,0.4542792915063296,0.9085585830126588,63.05279341374949,60.10698631470959,F
8308,9b0dca9a-ac69-11e9-a2fc-000d3a38a36f,91.57142857142857,98.71428571428571,3.0,120.54666666666668,0.4572138988398729,0.9144277976797454,127.32311369954381,122.15868719055969,D
8309,2bbab136-acf9-11e9-a2fc-000d3a38a36f,134.42857142857142,156.28571428571428,2.0,35.49,0.29235639642247085,0.5847127928449406,40.08706896090832,24.593174159584514,F
8310,431bcce4-52fc-11ea-9ade-000d3a38a36f,70.14285714285714,72.14285714285714,2.0,90.74,0.45821734581666973,0.9164346916333399,99.10363993855832,95.29252026510898,D
8311,37fab206-5b23-11ea-9628-000d3a38a36f,54.714285714285715,75.28571428571429,5.0,136.776,0.6863985690069561,1.372797138013906,141.1960285345486,203.3745161753619,B
8312,1eb37bd6-aa28-11e9-a2fc-000d3a38a36f,66.57142857142857,75.42857142857143,2.0,100.435,0.44828619777916573,0.8965723955583312,109.45957940694414,102.96907815578246,D
8313,6e6b22b2-2b4e-11ea-9d27-000d3a38a36f,56.42857142857143,90.28571428571429,4.0,117.755,0.5524550591277079,1.1049101182554157,122.68947048198241,142.2335104898047,C
8314,cb8bc358-5334-11ea-acd3-000d3a38a36f,51.857142857142854,69.0,2.0,177.99,0.46813735863312156,0.9362747172662411,192.3017542878789,188.9096870298164,B
8315,cc850878-26ac-11ea-aaaa-000d3a38a36f,71.57142857142857,115.71428571428571,8.0,101.04375,0.7293921105965302,1.458784221193062,103.20002004438393,157.95687209294326,C
8316,b8fef7bc-f5c1-11e9-841e-000d3a38a36f,79.85714285714286,83.85714285714286,3.0,117.29666666666667,0.4996616484602896,0.9993232969205801,123.92868704429985,129.94080323182763,C
8317,ae98b42a-ad73-11e9-a2fc-000d3a38a36f,177.14285714285714,182.14285714285714,3.0,267.96999999999997,0.3095466299868619,0.619093259973726,281.2977882446453,182.72168002633296,B
8318,8c9125b2-e9f2-11ea-8145-000d3a38a36f,6.142857142857143,39.42857142857143,2.0,152.715,0.5878897728610583,1.1757795457221192,165.30367589041097,203.92764233834868,B
8319,0e4bde7e-aa04-11e9-a2fc-000d3a38a36f,69.0,91.71428571428571,3.0,69.99,0.47627734074873673,0.9525546814974735,74.51976079689258,74.47817980997557,F
8320,0fd23c40-ad22-11e9-a2fc-000d3a38a36f,157.28571428571428,188.42857142857142,7.0,167.83571428571426,0.48359846840728754,0.9671969368145737,171.5463128845749,174.0860562016955,B
8321,203e3e6a-c538-11ea-9dde-000d3a38a36f,16.0,46.285714285714285,5.0,65.982,0.8489485587789091,1.69789711755782,68.54738835374665,122.11526893579176,D
8322,557179ba-d706-11e9-93bc-000d3a38a36f,76.42857142857143,89.71428571428571,4.0,113.86250000000001,0.5543580972321249,1.1087161944642545,118.66866193640288,138.04609401230354,C
8323,0debe3c0-2b41-11ea-9d27-000d3a38a36f,63.57142857142857,92.28571428571429,3.0,230.9766666666667,0.4746617548898631,0.9493235097797311,242.6605092498789,241.7024358556967,A
8324,4356ac8c-b05a-11e9-9757-000d3a38a36f,91.42857142857143,114.14285714285714,5.0,129.98,0.5462548230461032,1.092509646092209,134.22198894547705,153.8567791149786,C
8325,c63228b0-2180-11ea-9618-000d3a38a36f,101.14285714285714,108.57142857142857,2.0,129.98499999999999,0.3678640865052035,0.7357281730104084,141.02409836422117,108.86252536174302,D
8326,77f3d004-bbb8-11ea-a0c9-000d3a38a36f,44.142857142857146,48.0,3.0,143.90333333333334,0.6439485034868938,1.287897006973788,151.71772659523032,205.0147682735176,B
8327,464374a2-9131-11eb-bae6-000d3a38a36f,5.857142857142857,9.0,5.0,184.448,1.2205908839671538,2.4411817679343137,190.11692542834172,486.95472737841135,S
8328,1902bf80-0035-11eb-8341-000d3a38a36f,28.857142857142858,33.285714285714285,25.0,97.43960000000001,3.142395945155451,6.284791890310912,98.10358513441194,646.9094068931306,S
8329,8a34e73a-bc9d-11eb-8ef5-000d3a38a36f,0.2857142857142857,1.1428571428571428,2.0,138.49,0.8790068530891189,1.758013706178235,150.10891168847303,276.88308124027117,A
8330,6038a1ea-ee01-11e9-9346-000d3a38a36f,76.85714285714286,85.42857142857143,4.0,169.20749999999998,0.5690598716323966,1.1381197432647938,175.83800013938273,209.97538164415596,B
8331,2aa88f72-a987-11e9-a2fc-000d3a38a36f,245.0,279.57142857142856,2.0,205.35500000000002,0.1910380643675294,0.38207612873505836,221.5323147368091,88.8085289754237,F
8332,bf4187cc-672a-11ea-9d38-000d3a38a36f,35.42857142857143,64.85714285714286,4.0,179.965,0.6520664367699489,1.3041328735398978,186.9500998000306,255.80865252048622,A
8333,52f3a4c4-af60-11e9-a2fc-000d3a38a36f,100.14285714285714,127.71428571428571,3.0,233.00333333333333,0.39218166924732134,0.7843633384946431,244.77723889745664,201.44477359643142,B
8334,e0fcd0fc-a9a6-11e9-a2fc-000d3a38a36f,223.28571428571428,228.57142857142858,7.0,189.18142857142857,0.4198956956303202,0.8397913912606417,193.28849436290727,170.3119446346036,B
